name,english_name,base_unit,scientific_name
اكسلين شراب 100مل - أبو أمين,EXYLIN  SYRP  14MG/5ML  100ML,زجاجة,DIPHENHYDRAMINE
بروتون اقراص-ابوامين,BROTON TABS - ABOAMEEN,باكت,
جنتامايسين قطر -ابو امين,,قطر,
جنتامايسين مرهم للعين -ابو امين,NULL,مرهم,NULL
دوفلم قطر - أبو أمين,,قطر,
دياتاب اقراص 5ملجم -ابو امين,DIATAB  TAB  5MG  100X10 S,باكت,GLIBENCLAMIDE
روفيناك اقراص 100ملجم -ابو امين,ROFENAC  RTAB  100MG  10 S,باكت,DICLOFENAC SODIUM
روفيناك اقراص 50ملجم - ابو امين,ROFENAC  TAB  50MG  20 S,باكت,DICLOFENAC SODIUM
روفيناك امبول 75ملجم- ابو امين,ROFENAC  AMP  75MG/3ML  5X3ML,باكت,DICLOFENAC SODIUM
روفيناك جل 50جرام- ابوامين,ROFENAC  GEL  1%  50GM,مرهم,DICLOFENAC SODIUM
سابوفين اقراص 400ملجم-ابوامين,SAPOFEN  TAB  400MG  20 S,باكت,IBUPROFEN
سابوفين اقراص عبوة كبيرة -ابوامين,,باكت,
سابوفين شراب/ جنيور,SAPOFEN SYRUP,زجاجة,
سيبروماكس 500ملج  ك-ابوامين,CIPROMAX  TAB  500MG  10 S,باكت,CIPROFLOXACIN
فيفادول اس اف 160مجم/5مل( 145مل) شراب ابوامين,FEVADOL  SYRP  120MG/5ML  145ML,زجاجة,PARACETAMOL
فيفادول اقراص  2شر يط ابوامين,FEVADOL  TAB  500MG  2X10 S,باكت,PARACETAMOL
فيفادول بلاص اقراص -ابوامين,FEVADOL PLUS  TAB    2X10 S,باكت,PARACETAMOL+CODEINE+CAFFEINE
كلافوكس 1000مج اقراص- ابوامين,KLAVOX  TAB  1000MG  20 S,باكت,AMOXIICILLIN+CLAVULANIC ACID
كلافوكس 312شراب ابوامين,KLAVOX  PSYP  312MG/5ML  100ML,زجاجة,AMOXIICILLIN+CLAVULANIC ACID
كلافوكس 375ك ابوامين,KLAVOX  TAB  375MG  20 S,باكت,AMOXIICILLIN+CLAVULANIC ACID
كلافوكس 625ملغ  ابوامين,KLAVOX  TAB  625MG  20 S,باكت,AMOXIICILLIN+CLAVULANIC ACID
لورين اقراص- ابوامين,LORINE  TAB  10MG  20 S,باكت,LORATADINE
لورين شراب ابوامين,LORINE  SYRP  5MG/5ML  100ML,زجاجة,MICRONIZED LORATADINE
ميتاز 0.1% مرهم -ابوامين,METAZ 1%  OIN,مرهم,
ميتاز 1% كريم -ابوامين,METAZ 1% CREAM,كريم,
هايموكس شراب 125 ملجم ابوامين,HYMOX  PSUS  125MG/5ML  100ML,زجاجة,AMOXYCILLIN
0,0,0,2
هايموكس شراب 250 ملجم ابوامين,HYMOX  PSUS  250MG/5ML  100ML,زجاجة,AMOXICILLIN TRIHYDRATE
0,0,0,2
هايموكس كبسول 250 ملجم ابوامين,HYMOX  CAP  250MG  20 S,باكت,AMOXYCILLIN
0,0,0,2
هايموكس كبسول 500 ملجم-ابوامين,HYMOX  CAP  500MG  20 S,باكت,AMOXYCILLIN
0,0,0,2
هستوب اقراص عبوة كبيرة-ابو امين,,أقراص,
هستوب اقراص4ملجم 2شريط-ابوامين,HISTOP  TAB  4MG  2X10 S,باكت,CHLORPHENIRAMINE MALEATE
هستوب شراب2 ملجم(100مل)-ابوامين,HISTOP  SYRP  2MG/5ML  100ML,زجاجة,CHLORPHENIRAMINE MALEATE
فلوتاب اقراص 20قرص,FLUTAB TAB 20TAB,باكت,paraccetam+diphenhydramin+pseudoephedrin tab
روفيناك دي فوار 20قرص,diclofenac na eff,باكت,
سابوفين  بلص اقراص  ابوامين,,باكت,
ميرازول شراب - ابو امين,,زجاجة,
ميرازول 500 مجماقراص-ابوامين,,باكت,
كلافوكس 228/5مل شراب ابوامين,,حبة,
فيرين اقراص 30قرص ابو امين,,باكت,
كلافوكس 457ملجم ابوامين,,حبة,
